P(High Risk),EMV_Advanced_ML ($),EMV_Standard_ML ($),EMV_Rule_Based ($),Best Strategy
0.05,1012684.85,3835280.89,10395224.63,Advanced_ML
0.1,997451.38,3578486.55,9650670.72,Advanced_ML
0.2,983514.08,3343542.18,8969469.0,Advanced_ML
0.3,990681.32,3464362.03,9319776.16,Advanced_ML
0.4,1019744.8,3954292.32,10740288.39,Advanced_ML
0.5,1070704.53,4813333.03,13231005.69,Advanced_ML
0.6,1143560.51,6041484.17,16791928.08,Advanced_ML
0.7,1235020.28,7583244.2,21262133.41,Advanced_ML
0.8,1350984.49,9538081.49,26930022.04,Advanced_ML
0.9,1488844.95,11862029.22,33668115.74,Advanced_ML
